parent_process_md5,parent_process_sha1,parent_process_sha256,parent_process_creation_date,process_id,agentid,elastic_id,usernames_id,agent_id,event_type,year,month,day,hour,parent_executablepath,executable_path,computername,parent_process_owner,process_owner,process_domain,parent_process_name,process_name,tenant_id,command_line,parent_command_line
,,,,"{""int"": null, ""string"": """"}",60ba53ba2cf7602fac7467b672fa4193,VozqgHwBUVIklYwECEiN,,,user_process_execs,2021,10,14,22,,,name_61,,,,,,tenant_c,,
,,,,"{""int"": 7424, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,9Wpzf3wBUVIklYwE3aGS,,,user_process_execs,2021,10,14,15,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_a86)\dir_b_d\dir_c_ad\executable_182,asdf_0x1314acde8918c_name_14,name_474,name_474,name_640,executable_163,executable_182,tenant_c,"""c:\program files (x86)\google\update\googleupdate.exe"" /ua /installsource scheduler",
,,,,"{""int"": 6976, ""string"": null}",d21ccb047b8d3d72c695101918096f9d,JteZfnwBLwEQS1RKshUM,,,user_process_execs,2021,10,14,11,c:\dir_a_a86)\dir_b_c\dir_c_c\dir_d_b\executable_353,c:\dir_a_a86)\dir_b_ff\executable_167,name_5,name_495,name_495,name_640,executable_353,executable_167,tenant_c,,
,,,,"{""int"": null, ""string"": ""9896""}",60ba53ba2cf7602fac7467b672fa4193,WryleXwBWkqM6Gh_-Uul,49.0,,user_process_execs,2021,10,13,12,,c:\dir_a_b\dir_b_i\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_8,,name_449,name_641,asdf_0x195ab829c_executable_5,executable_160,tenant_c,"""C:\Users\jwhite\AppData\Local\Microsoft\Teams\current\Teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1688,3077063359260226798,4798237628298328397,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-US --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path=""C:\Users\jwhite\AppData\Local\Microsoft\Teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=8560 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=12756 /prefetch:1",
,,,,"{""int"": 1008, ""string"": null}",8b8b4fed9f695c3c2aae6daac4688dc1,Mugvf3wBxoofP3v-yuv0,,,user_process_execs,2021,10,14,14,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_if\executable_176,name_60,name_532,name_532,name_640,executable_398,executable_176,tenant_c,,
,,,,"{""int"": 8184, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,Mnhpf3wBNBIFWOYHNQuC,,,user_process_execs,2021,10,14,15,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_j64\dir_d_j4.0.30319\executable_161,test_9441501d-f633-365a-8955-9df443edc762_name_32,name_494,name_494,name_640,executable_185,executable_161,tenant_c,"c:\windows\microsoft.net\framework64\v4.0.30319\mscorsvw.exe -startupevent 508 -interruptevent 0 -ngenprocess 4a8 -pipe 4c4 -comment ""ngen worker process""",
,,,,"{""int"": 13552, ""string"": null}",74aef8276914ae0aeda0c33fb15f859c,OoEeenwBxoofP3v-_NZA,,,user_process_execs,2021,10,13,14,c:\dir_a_j\dir_b_j32\executable_171,c:\dir_a_j\dir_b_j32\executable_178,name_2,name_442,name_442,name_643,executable_171,executable_178,tenant_e,"find  ""state"" ",
,,,,"{""int"": 5116, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,FOSXenwBxoofP3v-Kcfv,,,user_process_execs,2021,10,13,16,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_bh64\dir_c_db\executable_164,name_22,name_468,name_468,name_640,executable_163,executable_164,tenant_c,c:\windows\syswow64\wbem\wmiprvse.exe -secured -embedding,
,,,,"{""int"": 14588, ""string"": null}",2e7a5ce4ccde281fc1cdee1e7ca1eb76,Djgdf3wBNBIFWOYHw6eQ,,,user_process_execs,2021,10,14,13,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_171,name_48,name_510,name_510,name_640,executable_163,executable_171,tenant_c,cmd.exe /c net stop sentryagent & net start sentryagent,
,,,,"{""int"": 5376, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,VJNPenwB1R6ZJf4-wiPw,,,user_process_execs,2021,10,13,15,c:\dir_a_j\dir_b_j32\executable_343,c:\dir_a_j\dir_b_j32\executable_287,name_74,name_511,name_511,name_640,executable_343,executable_287,tenant_c,c:\windows\system32\sihclient.exe  /cv zzchbuontkyidutdsaqnsw.0.1,
,,,,"{""int"": null, ""string"": """"}",6c2a5399d1cf8df22ec5c2b9bf743e35,HzcVe3wB1R6ZJf4-RCRd,,,user_process_execs,2021,10,13,19,,,name_79,,,,,,tenant_c,,
,,,,"{""int"": 14756, ""string"": null}",c5021203e048fc1b1d4955a9f158711f,N7jyd3wBjd7GdOiooROG,,,user_process_execs,2021,10,13,4,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_fj\dir_c_bd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.1220_none_7e21bc567c7ed16b\executable_173,name_4,name_485,name_485,name_640,executable_163,executable_173,tenant_c,,
,,,,"{""int"": 17852, ""string"": null}",6fdfc785d72799667f54887abbb48219,ivsygHwBRALE72vTkuH7,,,user_process_execs,2021,10,14,18,c:\dir_a_j\dir_b_j32\executable_408,c:\dir_a_j\dir_b_j32\executable_177,test_12fc65c4-ef8f-3388-a198-1d3053f11a10_name_69,name_579,name_579,name_640,executable_408,executable_177,tenant_c,,
,,,,"{""int"": 16484, ""string"": null}",2f167adb3ff4366bc93fad3880cee9cd,0vekgHwBB0gvw5rftnHM,,,user_process_execs,2021,10,14,20,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_c\dir_b_ajh\executable_315,test_111b2e08-c707-3601-9773-eba39ab73b39_name_68,name_608,name_608,name_640,executable_398,executable_315,tenant_c,,
,,,,"{""int"": 6672, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,SFBue3wBDac3IFZAdOUN,,,user_process_execs,2021,10,13,20,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_181,name_74,name_511,name_511,name_640,executable_163,executable_181,tenant_c,gpupdate.exe /target:computer,
,,,,"{""int"": 5432, ""string"": null}",171e1e972f703b7cd3721c19de438886,4FlRe3wBB0gvw5rfjVGU,,,user_process_execs,2021,10,13,20,c:\dir_a_j\dir_b_j32\executable_171,c:\dir_a_j\dir_b_j32\executable_186,asdf_0x131acde8918c_name_1,name_443,name_443,name_643,executable_171,executable_186,tenant_e,"sc  queryex ""pc monitor"" ",
,,,,"{""int"": 13412, ""string"": null}",f1d4622dfa3e4af504b5a462902c920b,TJUrfXwBV1WtlBxDImh_,,,user_process_execs,2021,10,14,4,c:\dir_a_j\dir_b_a\dir_c_b\dir_d_j4.0.30319\executable_185,c:\dir_a_j\dir_b_a\dir_c_b\dir_d_j4.0.30319\executable_161,name_20,name_491,name_491,name_640,executable_185,executable_161,tenant_c,"c:\windows\microsoft.net\framework\v4.0.30319\mscorsvw.exe -startupevent 424 -interruptevent 0 -ngenprocess 43c -pipe 420 -comment ""ngen worker process""",
,,,,"{""int"": 6300, ""string"": null}",e28d3fa8be3fed48edacc9228e46668a,p68vgHwBEhvPAxw3fUiW,1259.0,,user_process_execs,2021,10,14,18,c:\dir_a_b\dir_b_bc\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,c:\dir_a_b\dir_b_bc\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_26,name_500,name_500,name_640,executable_160,executable_160,tenant_c,"""c:\users\lrompola\appdata\local\microsoft\teams\current\teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1664,15749342323083897128,12389559029818793945,131072 --enable-features=contextbridgemutability,webcomponentsv0enabled,winusebrowserspellchecker,winusehybridspellchecker --disable-features=cookieswithoutsamesitemustbesecure,samesitebydefaultcookies,sparerendererforsiteperprocess --lang=en-us --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.teams.teams --app-path=""c:\users\lrompola\appdata\local\microsoft\teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=1439 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=4360 /prefetch:1",
,,,,"{""int"": 7848, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,Vj6sf3wB1R6ZJf4-6BVx,,,user_process_execs,2021,10,14,16,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\dir_c_db\executable_164,name_40,name_487,name_440,name_642,executable_163,executable_164,tenant_c,c:\windows\system32\wbem\wmiprvse.exe -secured -embedding,
,,,,"{""int"": 3904, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,GsByeHwBNpbLFxe_cgkd,86.0,,user_process_execs,2021,10,13,6,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_170,name_44,name_534,name_533,name_640,executable_163,executable_170,tenant_c,taskhostw.exe,
,,,,"{""int"": 10892, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,6jrXeXwBEhvPAxw3WXRn,38.0,,user_process_execs,2021,10,13,13,c:\dir_a_b\dir_b_ad\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,c:\dir_a_b\dir_b_ad\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_12,name_472,name_472,name_640,executable_160,executable_160,tenant_c,"""c:\users\dhurless\appdata\local\microsoft\teams\current\teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1672,14099728956412984822,15480334656700937563,131072 --enable-features=contextbridgemutability,webcomponentsv0enabled --disable-features=cookieswithoutsamesitemustbesecure,samesitebydefaultcookies,sparerendererforsiteperprocess --lang=en-us --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.teams.teams --app-path=""c:\users\dhurless\appdata\local\microsoft\teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=2544 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=7948 /prefetch:1",
,,,,"{""int"": null, ""string"": """"}",ff4a4def5b0da1d493849490701d35a8,pwBcenwBNpbLFxe_tRWq,1353.0,,user_process_execs,2021,10,13,15,,,name_25,,,,,,tenant_c,,
,,,,"{""int"": 17916, ""string"": null}",32615bbe42c0ae71b1b9e63a0d7008e1,ELL-gHwBNBIFWOYHJRLV,158.0,,user_process_execs,2021,10,14,22,c:\dir_a_b\dir_b_fi\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,c:\dir_a_b\dir_b_fi\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_650,name_610,name_610,name_652,executable_160,executable_160,tenant_c,"""c:\users\cvining\appdata\local\microsoft\teams\current\teams.exe"" --type=renderer --no-sandbox --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1628,6129707319972579174,12689492122016498375,131072 --enable-features=contextbridgemutability,webcomponentsv0enabled,winusebrowserspellchecker,winusehybridspellchecker --disable-features=cookieswithoutsamesitemustbesecure,samesitebydefaultcookies,sparerendererforsiteperprocess --lang=en-us --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.teams.teams --app-path=""c:\users\cvining\appdata\local\microsoft\teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=382 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=6304 /prefetch:1",
,,,,"{""int"": 14648, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,P4u7eHwB0-fRXDnoPYxB,,,user_process_execs,2021,10,13,8,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_181,name_56,name_541,name_541,name_640,executable_163,executable_181,tenant_c,gpupdate.exe /target:computer,
,,,,"{""int"": 18196, ""string"": null}",f1d4622dfa3e4af504b5a462902c920b,a9higHwBEhvPAxw3DI3e,290.0,,user_process_execs,2021,10,14,19,c:\dir_a_b\dir_b_bd\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,c:\dir_a_b\dir_b_bd\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_20,name_473,name_473,name_640,executable_160,executable_160,tenant_c,"""c:\users\dsanchez\appdata\local\microsoft\teams\current\teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1656,16986771302746390360,2813410317403424854,131072 --enable-features=contextbridgemutability,webcomponentsv0enabled,winusebrowserspellchecker,winusehybridspellchecker --disable-features=cookieswithoutsamesitemustbesecure,samesitebydefaultcookies,sparerendererforsiteperprocess --lang=en-us --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.teams.teams --app-path=""c:\users\dsanchez\appdata\local\microsoft\teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=1323 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5908 /prefetch:1",
,,,,"{""int"": 12836, ""string"": null}",f78ea8b7cf43a0811ffdf7389527eb32,kpGEd3wBUJtdm8RqdKv1,77.0,,user_process_execs,2021,10,13,2,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_169,name_6,name_488,name_447,name_640,executable_163,executable_169,tenant_c,,
,,,,"{""int"": 14036, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,y32reXwBXiyPKgRrJA3G,,,user_process_execs,2021,10,13,12,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_j32\executable_163,name_24,name_467,name_467,name_640,executable_398,executable_163,tenant_c,c:\windows\system32\svchost.exe -k wusvcs -p -s waasmedicsvc,
,,,,"{""int"": 10464, ""string"": null}",6efe17d28b0d439da14e6348d82c0c7e,79YxenwBUVIklYwE8Ftq,,,user_process_execs,2021,10,13,15,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_170,name_82,name_565,name_565,name_640,executable_163,executable_170,tenant_c,taskhostw.exe system,
,,,,"{""int"": null, ""string"": """"}",2ad432dd94aeb8777638a6136699d699,xQR1f3wBB0gvw5rfov_8,78.0,,user_process_execs,2021,10,14,15,,,name_124,,,,,,tenant_e,,
,,,,"{""int"": 8216, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,ijrjeXwB1R6ZJf4-kEoT,44.0,,user_process_execs,2021,10,13,13,c:\dir_a_b\dir_b_dg\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,c:\dir_a_b\dir_b_dg\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_10,name_483,name_483,name_640,executable_160,executable_160,tenant_c,"""c:\users\smoore\appdata\local\microsoft\teams\current\teams.exe"" --type=gpu-process --field-trial-handle=1684,15374869072838010153,14782657194427156953,131072 --enable-features=contextbridgemutability,webcomponentsv0enabled,winusebrowserspellchecker,winusehybridspellchecker --disable-features=cookieswithoutsamesitemustbesecure,samesitebydefaultcookies,sparerendererforsiteperprocess --disable-gpu-sandbox --use-gl=disabled --gpu-vendor-id=32902 --gpu-device-id=16018 --gpu-sub-system-id=140120104 --gpu-revision=0 --gpu-driver-version=27.20.100.9664 --gpu-preferences=maaaaaaaaadoaaawaaaaaaaaaaaaaaaaaabgaaaiaaaqaaaaaaaaaaaaaaaaaaaakaaaaaqaaaagaaaaaaaaacgaaaaaaaaamaaaaaaaaaa4aaaaaaaaabaaaaaaaaaaaaaaaauaaaaqaaaaaaaaaaaaaaagaaaaeaaaaaaaaaabaaaabqaaabaaaaaaaaaaaqaaaayaaaa= --mojo-platform-channel-handle=3892 /prefetch:2",
,,,,"{""int"": null, ""string"": """"}",42815a9f1b3392c5daa56f1c9ff59eac,hWDFenwBXiyPKgRr0KL2,74.0,,user_process_execs,2021,10,13,17,,,name_131,,,,,,tenant_e,,
,,,,"{""int"": null, ""string"": ""100908""}",f87be2d33e3d31383b4fa57885b5bc28,KJwLe3wBLwEQS1RK3PSb,26.0,,user_process_execs,2021,10,13,18,,c:\dir_a_b\dir_b_ih\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,test_9bdf2544-31d8-3555-94b0-6a749118a996_name_45,,name_451,name_641,asdf_0x195ab829c_executable_5,executable_160,tenant_c,"""C:\Users\DHansen\AppData\Local\Microsoft\Teams\current\Teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1652,10195333802968403517,5416753192939435227,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-US --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path=""C:\Users\DHansen\AppData\Local\Microsoft\Teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=1326 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=3672 /prefetch:1",
,,,,"{""int"": 10540, ""string"": null}",6fdfc785d72799667f54887abbb48219,2lMZgXwB1R6ZJf4-946Q,848.0,,user_process_execs,2021,10,14,23,c:\dir_a_b\dir_b_df\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,c:\dir_a_b\dir_b_df\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,test_12fc65c4-ef8f-3388-a198-1d3053f11a10_name_69,name_569,name_569,name_640,executable_160,executable_160,tenant_c,,
,,,,"{""int"": 7072, ""string"": null}",c5021203e048fc1b1d4955a9f158711f,YwIlfXwBNBIFWOYHHnhq,,,user_process_execs,2021,10,14,4,c:\dir_a_j\dir_b_j32\executable_181,c:\dir_a_j\dir_b_j32\executable_162,name_4,name_485,name_485,name_640,executable_181,executable_162,tenant_c,,
,,,,"{""int"": 13212, ""string"": null}",32615bbe42c0ae71b1b9e63a0d7008e1,FJvfgHwBXiyPKgRrc9A0,108.0,,user_process_execs,2021,10,14,22,c:\dir_a_a86)\dir_b_b\dir_c_a\dir_d_a\executable_166,c:\dir_a_a86)\dir_b_b\dir_c_a\dir_d_a\94dir_e_d0.992.47\executable_175,name_650,name_444,name_444,name_640,executable_166,executable_175,tenant_c,"""c:\program files (x86)\microsoft\edge\application\94.0.992.47\identity_helper.exe"" --type=utility --utility-sub-type=winrt_app_id.mojom.winrtappidservice --field-trial-handle=2228,12911535275553256684,1959614502068556306,131072 --lang=en-us --service-sandbox-type=none --mojo-platform-channel-handle=2828 /prefetch:8",
,,,,"{""int"": 2340, ""string"": null}",ff4a4def5b0da1d493849490701d35a8,sZTye3wBdqP6iFOW2clq,1353.0,,user_process_execs,2021,10,13,23,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_b\dir_b_ej\dir_c_i\dir_d_d\dir_e_j\dir_f_ag\21dir_g_e200.0926.0001\executable_200,name_25,name_475,name_507,name_640,executable_163,executable_200,tenant_c,"""c:\users\jemery\appdata\local\microsoft\onedrive\21.200.0926.0001\filecoauth.exe"" -embedding",
,,,,"{""int"": null, ""string"": """"}",13622e171f86a3b04aa32b20960a22db,iuU_gHwBACIhUi-kyi5a,22.0,,user_process_execs,2021,10,14,19,,,test_7778e643-5702-355a-ba09-7edb098f8f46_name_156,,,,,,tenant_e,,
,,,,"{""int"": 932, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,CTeKenwBNBIFWOYHAGH7,,,user_process_execs,2021,10,13,16,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_fj\dir_c_bd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.1220_none_7e21bc567c7ed16b\executable_173,name_23,name_477,name_477,name_640,executable_163,executable_173,tenant_c,c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.1220_none_7e21bc567c7ed16b\tiworker.exe -embedding,
,,,,"{""int"": 17796, ""string"": null}",798bc6e312b6d66c6038a0ab8df60da4,caZAgHwBqhyjhem8JXS1,,,user_process_execs,2021,10,14,19,c:\dir_a_j\dir_b_j32\executable_398,c:\dir_a_j\dir_b_j32\executable_163,name_35,name_554,name_554,name_640,executable_398,executable_163,tenant_c,,
